ID,a_num_id,b_num_id
1767,1095,177
1768,1096,183
1769,133,4
1770,1097,169
1771,1098,169
1772,1099,183
1773,1100,3
1774,1101,195
1775,1102,195
1776,1103,188
1777,1104,230
1778,1105,169
1779,1106,195
1780,1107,230
1781,1108,178
1782,1109,188
1783,1003,230
1784,1110,177
1785,142,3
1786,1111,178
1787,1112,188
1788,134,4
1789,1004,183
1790,1113,177
1791,1114,230
1792,1115,177
1793,946,195
1794,993,188
1795,1116,183
1796,1117,1186
1797,1118,188
1798,1006,4
1799,1119,177
1800,1120,195
1801,1121,4
1802,1122,195
1803,1123,177
1804,1124,195
1805,138,3
1806,982,3
1807,1125,188
1808,1126,1186
1809,1127,230
1810,1006,195
1811,1128,178
1812,1129,1186
1813,966,3
1814,1130,195
1815,1131,230
1816,1132,195
1817,1133,169
1818,1134,183
1819,10,4
1820,15,4
1821,1135,177
1822,1136,178
1823,145,3
1824,1137,178
1825,140,3
1826,1138,3
1827,1139,177
1828,1140,177
1829,1141,195
1830,1142,169
1831,1143,177
1832,1144,1186
1833,1145,188
1834,1146,183
1835,1147,195
1836,1148,188
1837,915,188
1838,915,1186
1839,1099,177
1840,931,4
1841,2,5
1842,2,6
1843,4,10
1844,176,2
1845,173,2
1846,172,2
1847,171,2
1848,170,2
1849,168,2
1850,167,2
1851,166,2
1852,165,2
1853,164,2
1854,163,2
1855,162,2
1856,161,2
1857,160,2
1858,159,2
1859,158,2
1860,157,2
1861,156,2
1862,155,2
1863,154,2
1864,153,2
1865,152,2
1866,151,2
1867,150,2
1868,124,2
1869,122,2
1870,121,2
1871,117,2
1872,116,2
1873,114,2
1874,113,2
1875,112,2
1876,109,2
1877,108,2
1878,107,2
1879,98,2
1880,93,2
1881,92,2
1882,90,2
1883,88,2
1884,86,2
1885,84,2
1886,78,2
1887,77,2
1888,76,2
1889,75,2
1890,72,2
1891,66,2
1892,62,2
1893,61,2
1894,60,2
1895,59,2
1896,58,2
1897,54,2
1898,53,2
1899,52,2
1900,50,2
1901,48,2
1902,42,2
1903,40,2
1904,38,2
1905,37,2
1906,35,2
1907,34,2
1908,33,2
1909,31,2
1910,29,2
1911,27,2
1912,26,2
1913,24,2
1914,20,2
1915,19,2
1916,17,2
1917,2,17
1918,2,18
1919,2,19
1920,2,20
1921,2,21
1922,2,22
1923,2,23
1924,2,24
1925,2,25
1926,2,26
1927,2,27
1928,2,28
1929,2,29
1930,2,30
1931,2,31
1932,2,32
1933,2,33
1934,2,34
1935,2,35
1936,2,36
1937,2,37
1938,2,38
1939,2,39
1940,2,40
1941,2,41
1942,2,42
1943,2,43
1944,2,44
1945,2,45
1946,2,46
1947,2,47
1948,2,48
1949,2,49
1950,2,50
1951,2,51
1952,2,52
1953,2,53
1954,2,54
1955,2,55
1956,2,56
1957,2,57
1958,2,58
1959,2,59
1960,2,60
1961,2,61
1962,2,62
1963,2,63
1964,2,64
1965,2,65
1966,2,66
1967,2,67
1968,2,68
1969,2,69
1970,128,4
1971,8,4
1972,143,3
1973,137,3
1974,2,70
1975,2,71
1976,2,72
1977,2,73
1978,2,74
1979,2,75
1980,2,76
1981,2,77
1982,2,78
1983,2,79
1984,2,80
1985,2,81
1986,2,82
1987,2,83
1988,2,84
1989,2,85
1990,2,86
1991,2,87
1992,2,88
1993,2,89
1994,2,90
1995,2,91
1996,2,92
1997,2,93
1998,175,1
1999,135,1
2000,121,1
2001,120,1
2002,119,1
2003,118,1
2004,2,94
2005,2,95
2006,2,96
2007,2,97
2008,2,98
2009,2,99
2010,2,100
2011,2,101
2012,2,102
2013,2,103
2014,2,104
2015,2,105
2016,2,106
2017,2,107
2018,2,108
2019,2,109
2020,2,110
2021,2,111
2022,2,112
2023,2,113
2024,2,114
2025,2,115
2026,2,116
2027,4,125
2028,2,127
